model,outcome,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
ROLLING7_COMMON_DIRECTIONAL,delta_yes_price,log_minutes_to_kickoff,0.00010520301154914546,1.821492378322611e-05,5.775649286330013,102,8.349609226069612e-08,6.907379659125155e-05,0.00014133222650703937
ROLLING7_COMMON_UPDATE_LPM,any_price_update_5m,rolling7_log_abs_large_net_flow,0.011581154899914452,0.0006836368498049623,16.94050708825671,102,2.0578543815583605e-31,0.010225164449793208,0.012937145350035695
ROLLING7_COMMON_UPDATE_LPM,any_price_update_5m,rolling7_log_abs_ordinary_net_flow,0.0056472844737991985,0.001027658864114333,5.495290967656078,102,2.8851746165219625e-07,0.003608927989477096,0.007685640958121302
ROLLING7_COMMON_UPDATE_LPM,any_price_update_5m,absolute_lagged_30m_price_change,2.380822189609908,0.9000210184421763,2.6452962106716273,102,0.009453433858935751,0.5956347669831643,4.1660096122366514
ROLLING7_COMMON_UPDATE_LPM,any_price_update_5m,yes_price_t,-0.16497992646499357,0.23129066872523246,-0.7133012644837203,102,0.47728818880118307,-0.6237438712158474,0.2937840182858602
ROLLING7_COMMON_UPDATE_LPM,any_price_update_5m,log_lagged_30m_volume,0.004454887401688423,0.0011030642520695755,4.03864724410218,102,0.00010427249668734447,0.00226696468789205,0.006642810115484796
ROLLING7_COMMON_UPDATE_LPM,any_price_update_5m,log_minutes_to_kickoff,-0.01852285898065606,0.0031651519291473564,-5.8521231824868,102,5.924310639193818e-08,-0.02480092282453912,-0.012244795136773
ROLLING7_COMMON_CONDITIONAL_NONZERO,delta_yes_price,rolling7_signed_log_large_net_flow,0.00034872145340774003,2.779141658839679e-05,12.547811382645925,101,2.495044547422068e-22,0.00029359075870723705,0.000403852148108243
ROLLING7_COMMON_CONDITIONAL_NONZERO,delta_yes_price,rolling7_signed_log_ordinary_net_flow,0.00017514939148683333,3.1186184416897785e-05,5.616249463077348,101,1.7265038785270394e-07,0.00011328439059733537,0.00023701439237633131
ROLLING7_COMMON_CONDITIONAL_NONZERO,delta_yes_price,lagged_30m_price_change,0.10363207899807571,0.02601089479959634,3.984179698411758,101,0.00012797476383683113,0.05203346057132892,0.15523069742482248
ROLLING7_COMMON_CONDITIONAL_NONZERO,delta_yes_price,yes_price_t,-0.09414265279342524,0.0320669190431109,-2.935818457234992,101,0.004119504250149117,-0.15775479426625674,-0.03053051132059373
ROLLING7_COMMON_CONDITIONAL_NONZERO,delta_yes_price,log_lagged_30m_volume,-6.539646513349691e-05,7.140451070612455e-05,-0.915859019084178,101,0.3619224014135848,-0.00020704380676709016,7.625087650009634e-05
ROLLING7_COMMON_CONDITIONAL_NONZERO,delta_yes_price,log_minutes_to_kickoff,0.0003486650441095068,0.00019818966970245192,1.7592493323843168,101,0.08156343214817192,-4.448994813084075e-05,0.0007418200363498544
