specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
expanding,75,2707625,1,0.0,1,1,1,1,1.0,1.0
expanding,75,2707625,1,1.0,4,0,0,5,0.0,
rolling_7d,75,2707625,0,0.0,1733,60,32,1892,0.03462204270051933,0.5333333333333333
rolling_7d,75,2707625,0,1.0,260,117,77,503,0.45,0.6581196581196581
rolling_7d,75,2707625,1,0.0,1,1,1,1,1.0,1.0
rolling_7d,75,2707625,1,1.0,4,0,0,5,0.0,
expanding,75,2707627,0,0.0,2717,279,131,3232,0.10268678689731321,0.46953405017921146
expanding,75,2707627,0,1.0,390,129,82,633,0.33076923076923076,0.6356589147286822
expanding,75,2707627,1,0.0,5,0,0,5,0.0,
expanding,75,2707627,1,1.0,26,3,1,28,0.11538461538461539,0.3333333333333333
rolling_7d,75,2707627,0,0.0,2774,286,137,3298,0.10310021629416005,0.479020979020979
rolling_7d,75,2707627,0,1.0,333,122,76,567,0.3663663663663664,0.6229508196721312
rolling_7d,75,2707627,1,0.0,10,0,0,10,0.0,
rolling_7d,75,2707627,1,1.0,21,3,1,23,0.14285714285714285,0.3333333333333333
expanding,77,2707636,0,0.0,3595,187,63,3707,0.05201668984700974,0.33689839572192515
expanding,77,2707636,0,1.0,487,246,148,673,0.5051334702258727,0.6016260162601627
expanding,77,2707636,1,0.0,8,0,0,8,0.0,
expanding,77,2707636,1,1.0,26,2,2,38,0.07692307692307693,1.0
rolling_7d,77,2707636,0,0.0,3669,198,63,3792,0.05396565821749796,0.3181818181818182
rolling_7d,77,2707636,0,1.0,413,235,148,588,0.5690072639225182,0.6297872340425532
rolling_7d,77,2707636,1,0.0,13,1,1,15,0.07692307692307693,1.0
rolling_7d,77,2707636,1,1.0,21,1,1,31,0.047619047619047616,1.0
expanding,77,2707637,0,0.0,2637,82,45,2737,0.031095942358740993,0.5487804878048781
expanding,77,2707637,0,1.0,478,235,185,736,0.4916317991631799,0.7872340425531915
expanding,77,2707637,1,0.0,6,1,1,6,0.16666666666666666,1.0
expanding,77,2707637,1,1.0,20,6,5,34,0.3,0.8333333333333334
rolling_7d,77,2707637,0,0.0,2732,90,46,2843,0.03294289897510981,0.5111111111111111
rolling_7d,77,2707637,0,1.0,383,227,184,630,0.5926892950391645,0.8105726872246696
rolling_7d,77,2707637,1,0.0,7,1,1,7,0.14285714285714285,1.0
rolling_7d,77,2707637,1,1.0,19,6,5,33,0.3157894736842105,0.8333333333333334
expanding,77,2707639,0,0.0,12705,767,371,13910,0.06036993309720583,0.48370273794002605
expanding,77,2707639,0,1.0,1935,997,680,5227,0.5152454780361757,0.6820461384152458
expanding,77,2707639,1,0.0,28,2,2,35,0.07142857142857142,1.0
expanding,77,2707639,1,1.0,96,14,11,1503,0.14583333333333334,0.7857142857142857
rolling_7d,77,2707639,0,0.0,13093,849,421,14392,0.06484380966928893,0.4958775029446408
rolling_7d,77,2707639,0,1.0,1547,915,630,4745,0.5914673561732385,0.6885245901639344
rolling_7d,77,2707639,1,0.0,41,2,2,51,0.04878048780487805,1.0
rolling_7d,77,2707639,1,1.0,83,14,11,1487,0.1686746987951807,0.7857142857142857
expanding,78,2707644,0,0.0,13654,599,297,14262,0.04386992822616083,0.4958263772954925
expanding,78,2707644,0,1.0,2147,1039,836,3832,0.48393106660456453,0.8046198267564967
expanding,78,2707644,1,0.0,31,1,1,36,0.03225806451612903,1.0
expanding,78,2707644,1,1.0,82,16,10,208,0.1951219512195122,0.625
rolling_7d,78,2707644,0,0.0,14087,693,365,14782,0.049194292610207996,0.5266955266955267
