specification,event_id,large_action,dynamic_high_activity,actions,any_next,same_next,any_next_action_5m,same_direction_given_next_5m
expanding,34,0,0.0,23449,1033,600,0.04405305130282741,0.5808325266214908
expanding,34,0,1.0,3017,1488,1007,0.49320517069937025,0.676747311827957
expanding,34,1,0.0,87,7,7,0.08045977011494253,1.0
expanding,34,1,1.0,206,70,64,0.33980582524271846,0.9142857142857143
expanding,35,0,0.0,11525,545,314,0.0472885032537961,0.5761467889908257
expanding,35,0,1.0,1988,702,538,0.35311871227364183,0.7663817663817664
expanding,35,1,0.0,30,2,0,0.06666666666666667,0.0
expanding,35,1,1.0,108,28,20,0.25925925925925924,0.7142857142857143
expanding,36,0,0.0,18557,879,420,0.04736757018914695,0.4778156996587031
expanding,36,0,1.0,2555,1232,865,0.4821917808219178,0.7021103896103896
expanding,36,1,0.0,79,6,6,0.0759493670886076,1.0
expanding,36,1,1.0,122,30,25,0.2459016393442623,0.8333333333333334
expanding,37,0,0.0,14788,1053,349,0.07120638355423316,0.33143399810066476
expanding,37,0,1.0,2389,1093,820,0.45751360401841773,0.7502287282708143
expanding,37,1,0.0,52,1,1,0.019230769230769232,1.0
expanding,37,1,1.0,77,12,9,0.15584415584415584,0.75
expanding,38,0,0.0,17348,719,351,0.04144569979248328,0.48817802503477054
expanding,38,0,1.0,2100,1023,784,0.48714285714285716,0.7663734115347018
expanding,38,1,0.0,45,2,2,0.044444444444444446,1.0
expanding,38,1,1.0,60,6,5,0.1,0.8333333333333334
expanding,39,0,0.0,14691,468,237,0.03185623851337554,0.5064102564102564
expanding,39,0,1.0,1967,943,701,0.47941026944585663,0.7433722163308589
expanding,39,1,0.0,29,0,0,0.0,
expanding,39,1,1.0,61,17,15,0.2786885245901639,0.8823529411764706
expanding,40,0,0.0,13021,518,277,0.039781890791797864,0.5347490347490348
expanding,40,0,1.0,1555,645,487,0.41479099678456594,0.7550387596899225
expanding,40,1,0.0,46,3,1,0.06521739130434782,0.3333333333333333
expanding,40,1,1.0,66,7,6,0.10606060606060606,0.8571428571428571
expanding,41,0,0.0,27829,1205,623,0.043300154515074206,0.5170124481327801
expanding,41,0,1.0,3985,2027,1428,0.5086574654956085,0.7044893931919092
expanding,41,1,0.0,76,2,2,0.02631578947368421,1.0
expanding,41,1,1.0,202,36,33,0.1782178217821782,0.9166666666666666
expanding,42,0,0.0,13466,1472,394,0.10931234219515817,0.26766304347826086
expanding,42,0,1.0,2010,742,557,0.3691542288557214,0.7506738544474394
expanding,42,1,0.0,43,1,1,0.023255813953488372,1.0
expanding,42,1,1.0,95,11,10,0.11578947368421053,0.9090909090909091
expanding,43,0,0.0,19667,837,434,0.04255860070168302,0.5185185185185185
expanding,43,0,1.0,2754,1308,993,0.4749455337690632,0.7591743119266054
expanding,43,1,0.0,36,3,2,0.08333333333333333,0.6666666666666666
expanding,43,1,1.0,111,21,19,0.1891891891891892,0.9047619047619048
expanding,44,0,0.0,11876,608,275,0.05119568878410239,0.45230263157894735
expanding,44,0,1.0,1616,550,379,0.34034653465346537,0.6890909090909091
expanding,44,1,0.0,36,1,1,0.027777777777777776,1.0
expanding,44,1,1.0,86,7,6,0.08139534883720931,0.8571428571428571
expanding,45,0,0.0,15642,930,419,0.05945531261986958,0.4505376344086022
expanding,45,0,1.0,2396,1181,827,0.4929048414023372,0.7002540220152413
expanding,45,1,0.0,43,2,2,0.046511627906976744,1.0
expanding,45,1,1.0,100,13,11,0.13,0.8461538461538461
expanding,46,0,0.0,15712,1238,349,0.07879327902240325,0.28190630048465265
expanding,46,0,1.0,2143,931,773,0.43443770415305644,0.8302900107411385
expanding,46,1,0.0,52,0,0,0.0,
expanding,46,1,1.0,89,12,7,0.1348314606741573,0.5833333333333334
expanding,47,0,0.0,14482,496,240,0.034249413064493854,0.4838709677419355
expanding,47,0,1.0,1998,875,672,0.43793793793793795,0.768
expanding,47,1,0.0,56,8,7,0.14285714285714285,0.875
expanding,47,1,1.0,88,15,12,0.17045454545454544,0.8
expanding,48,0,0.0,14277,516,243,0.03614204664845556,0.47093023255813954
expanding,48,0,1.0,1611,654,449,0.4059590316573557,0.6865443425076453
expanding,48,1,0.0,24,0,0,0.0,
expanding,48,1,1.0,52,6,3,0.11538461538461539,0.5
expanding,49,0,0.0,17349,946,480,0.05452763848060407,0.507399577167019
expanding,49,0,1.0,2210,1111,746,0.5027149321266968,0.6714671467146714
expanding,49,1,0.0,53,5,2,0.09433962264150944,0.4
expanding,49,1,1.0,77,9,5,0.11688311688311688,0.5555555555555556
expanding,50,0,0.0,10638,540,311,0.050761421319796954,0.575925925925926
expanding,50,0,1.0,1337,530,427,0.39640987284966345,0.8056603773584906
expanding,50,1,0.0,20,2,1,0.1,0.5
expanding,50,1,1.0,40,5,4,0.125,0.8
expanding,51,0,0.0,9726,473,248,0.04863253135924327,0.5243128964059197
expanding,51,0,1.0,1337,388,316,0.29020194465220644,0.8144329896907216
expanding,51,1,0.0,25,0,0,0.0,
expanding,51,1,1.0,71,9,7,0.1267605633802817,0.7777777777777778
expanding,52,0,0.0,13028,429,248,0.0329290758366595,0.578088578088578
expanding,52,0,1.0,1880,829,668,0.4409574468085106,0.8057901085645356
expanding,52,1,0.0,33,0,0,0.0,
expanding,52,1,1.0,76,12,11,0.15789473684210525,0.9166666666666666
expanding,53,0,0.0,13456,725,416,0.05387931034482758,0.5737931034482758
expanding,53,0,1.0,1983,858,653,0.43267776096822996,0.7610722610722611
expanding,53,1,0.0,32,3,3,0.09375,1.0
expanding,53,1,1.0,109,21,17,0.1926605504587156,0.8095238095238095
expanding,54,0,0.0,15075,687,296,0.045572139303482584,0.43085880640465796
expanding,54,0,1.0,2758,1339,1069,0.4854967367657723,0.7983569828230023
expanding,54,1,0.0,40,4,4,0.1,1.0
expanding,54,1,1.0,143,34,32,0.23776223776223776,0.9411764705882353
expanding,55,0,0.0,9614,1247,275,0.12970667776159767,0.22052927024859664
expanding,55,0,1.0,1737,490,418,0.2820955670696603,0.8530612244897959
expanding,55,1,0.0,22,1,1,0.045454545454545456,1.0
expanding,55,1,1.0,87,16,14,0.1839080459770115,0.875
expanding,56,0,0.0,26425,1692,917,0.06403027436140019,0.5419621749408984
expanding,56,0,1.0,4853,2284,1566,0.4706367195549145,0.6856392294220666
expanding,56,1,0.0,105,25,22,0.23809523809523808,0.88
expanding,56,1,1.0,233,57,53,0.2446351931330472,0.9298245614035088
expanding,57,0,0.0,8093,610,242,0.07537377980971209,0.39672131147540984
expanding,57,0,1.0,1503,428,367,0.28476380572188953,0.8574766355140186
