classification_family,specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
whale_volume,expanding_top1_primary,22,1897098,1,1,21,4,2,635,0.19047619047619047,0.5
whale_volume,expanding_top1_primary,22,1897099,0,0,5069,143,66,5225,0.028210692444269086,0.46153846153846156
whale_volume,expanding_top1_primary,22,1897099,0,1,703,316,236,2641,0.44950213371266,0.7468354430379747
whale_volume,expanding_top1_primary,22,1897099,1,0,19,0,0,21,0.0,
whale_volume,expanding_top1_primary,22,1897099,1,1,19,1,1,29,0.05263157894736842,1.0
whale_volume,expanding_top1_primary,23,1897100,0,0,6571,302,129,6846,0.04595951909907168,0.4271523178807947
whale_volume,expanding_top1_primary,23,1897100,0,1,1025,520,353,3533,0.5073170731707317,0.6788461538461539
whale_volume,expanding_top1_primary,23,1897100,1,0,15,1,0,27,0.06666666666666667,0.0
whale_volume,expanding_top1_primary,23,1897100,1,1,40,6,5,475,0.15,0.8333333333333334
whale_volume,expanding_top1_primary,23,1897101,0,0,3223,147,83,3331,0.045609680421967114,0.564625850340136
whale_volume,expanding_top1_primary,23,1897101,0,1,585,303,231,1667,0.517948717948718,0.7623762376237624
whale_volume,expanding_top1_primary,23,1897101,1,0,3,0,0,8,0.0,
whale_volume,expanding_top1_primary,23,1897101,1,1,8,0,0,15,0.0,
whale_volume,expanding_top1_primary,23,1897102,0,0,2597,92,42,2643,0.03542549095109742,0.45652173913043476
whale_volume,expanding_top1_primary,23,1897102,0,1,512,220,166,2177,0.4296875,0.7545454545454545
whale_volume,expanding_top1_primary,23,1897102,1,0,10,1,1,11,0.1,1.0
whale_volume,expanding_top1_primary,23,1897102,1,1,32,4,2,789,0.125,0.5
whale_volume,expanding_top1_primary,24,1897103,0,0,2613,100,41,2762,0.038270187523918864,0.41
whale_volume,expanding_top1_primary,24,1897103,0,1,356,96,77,837,0.2696629213483146,0.8020833333333334
whale_volume,expanding_top1_primary,24,1897103,1,0,2,0,0,2,0.0,
whale_volume,expanding_top1_primary,24,1897103,1,1,19,2,2,40,0.10526315789473684,1.0
whale_volume,expanding_top1_primary,24,1897104,0,0,2609,67,37,2723,0.025680337293982367,0.5522388059701493
whale_volume,expanding_top1_primary,24,1897104,0,1,415,136,107,613,0.327710843373494,0.7867647058823529
whale_volume,expanding_top1_primary,24,1897104,1,0,4,0,0,4,0.0,
whale_volume,expanding_top1_primary,24,1897104,1,1,12,2,2,25,0.16666666666666666,1.0
whale_volume,expanding_top1_primary,24,1897105,0,0,6553,332,153,7725,0.0506638180985808,0.4608433734939759
whale_volume,expanding_top1_primary,24,1897105,0,1,953,356,253,2770,0.37355718782791186,0.7106741573033708
whale_volume,expanding_top1_primary,24,1897105,1,0,5,0,0,5,0.0,
whale_volume,expanding_top1_primary,24,1897105,1,1,58,17,15,544,0.29310344827586204,0.8823529411764706
whale_volume,expanding_top1_primary,25,1897106,0,0,12176,682,343,13410,0.05601182654402102,0.5029325513196481
whale_volume,expanding_top1_primary,25,1897106,0,1,1392,629,392,8377,0.45186781609195403,0.6232114467408585
whale_volume,expanding_top1_primary,25,1897106,1,0,44,11,11,118,0.25,1.0
whale_volume,expanding_top1_primary,25,1897106,1,1,95,19,13,2853,0.2,0.6842105263157895
whale_volume,expanding_top1_primary,25,1897107,0,0,3001,166,107,3231,0.055314895034988334,0.6445783132530121
whale_volume,expanding_top1_primary,25,1897107,0,1,602,324,236,1153,0.5382059800664452,0.7283950617283951
whale_volume,expanding_top1_primary,25,1897107,1,0,17,6,6,29,0.35294117647058826,1.0
whale_volume,expanding_top1_primary,25,1897107,1,1,9,2,0,13,0.2222222222222222,0.0
whale_volume,expanding_top1_primary,25,1897108,0,0,2322,87,30,2419,0.037467700258397935,0.3448275862068966
whale_volume,expanding_top1_primary,25,1897108,0,1,558,301,210,924,0.5394265232974911,0.6976744186046512
whale_volume,expanding_top1_primary,25,1897108,1,0,4,1,1,4,0.25,1.0
whale_volume,expanding_top1_primary,25,1897108,1,1,11,1,1,34,0.09090909090909091,1.0
whale_volume,expanding_top1_primary,26,1897109,0,0,7011,299,155,7720,0.04264726857794894,0.5183946488294314
whale_volume,expanding_top1_primary,26,1897109,0,1,968,492,359,2663,0.5082644628099173,0.7296747967479674
whale_volume,expanding_top1_primary,26,1897109,1,0,11,1,1,14,0.09090909090909091,1.0
whale_volume,expanding_top1_primary,26,1897109,1,1,29,7,4,82,0.2413793103448276,0.5714285714285714
whale_volume,expanding_top1_primary,26,1897110,0,0,3337,70,34,3450,0.020976925382079712,0.4857142857142857
whale_volume,expanding_top1_primary,26,1897110,0,1,484,255,187,800,0.5268595041322314,0.7333333333333333
whale_volume,expanding_top1_primary,26,1897110,1,1,19,1,1,40,0.05263157894736842,1.0
whale_volume,expanding_top1_primary,26,1897111,0,0,2931,91,42,3007,0.031047424087342203,0.46153846153846156
whale_volume,expanding_top1_primary,26,1897111,0,1,577,329,285,1256,0.5701906412478336,0.8662613981762918
whale_volume,expanding_top1_primary,26,1897111,1,0,12,1,1,14,0.08333333333333333,1.0
whale_volume,expanding_top1_primary,26,1897111,1,1,20,1,1,29,0.05,1.0
whale_volume,expanding_top1_primary,27,1897112,0,0,5680,381,192,6651,0.06707746478873239,0.5039370078740157
whale_volume,expanding_top1_primary,27,1897112,0,1,970,466,328,3243,0.48041237113402063,0.703862660944206
whale_volume,expanding_top1_primary,27,1897112,1,0,8,2,2,44,0.25,1.0
whale_volume,expanding_top1_primary,27,1897112,1,1,28,3,2,80,0.10714285714285714,0.6666666666666666
whale_volume,expanding_top1_primary,27,1897113,0,0,3612,91,50,3703,0.025193798449612403,0.5494505494505495
whale_volume,expanding_top1_primary,27,1897113,0,1,686,349,306,1259,0.5087463556851312,0.8767908309455588
whale_volume,expanding_top1_primary,27,1897113,1,0,5,0,0,5,0.0,
whale_volume,expanding_top1_primary,27,1897113,1,1,27,3,3,33,0.1111111111111111,1.0
whale_volume,expanding_top1_primary,27,1897114,0,0,3722,169,99,4020,0.045405695862439546,0.5857988165680473
whale_volume,expanding_top1_primary,27,1897114,0,1,715,319,273,1837,0.4461538461538462,0.8557993730407524
whale_volume,expanding_top1_primary,27,1897114,1,0,2,1,1,5,0.5,1.0
whale_volume,expanding_top1_primary,27,1897114,1,1,24,5,4,55,0.20833333333333334,0.8
whale_volume,expanding_top1_primary,28,1897115,0,0,8430,402,190,9255,0.04768683274021352,0.472636815920398
whale_volume,expanding_top1_primary,28,1897115,0,1,1349,655,407,7424,0.4855448480355819,0.6213740458015267
whale_volume,expanding_top1_primary,28,1897115,1,0,21,3,3,24,0.14285714285714285,1.0
whale_volume,expanding_top1_primary,28,1897115,1,1,71,14,12,5749,0.19718309859154928,0.8571428571428571
whale_volume,expanding_top1_primary,28,1897116,0,0,4422,146,65,4766,0.033016734509271825,0.4452054794520548
whale_volume,expanding_top1_primary,28,1897116,0,1,798,378,292,1342,0.47368421052631576,0.7724867724867724
whale_volume,expanding_top1_primary,28,1897116,1,0,4,0,0,4,0.0,
whale_volume,expanding_top1_primary,28,1897116,1,1,40,7,7,74,0.175,1.0
whale_volume,expanding_top1_primary,28,1897117,0,0,6995,359,186,7854,0.051322373123659754,0.5181058495821727
whale_volume,expanding_top1_primary,28,1897117,0,1,1306,645,520,5950,0.49387442572741197,0.8062015503875969
whale_volume,expanding_top1_primary,28,1897117,1,0,12,0,0,13,0.0,
whale_volume,expanding_top1_primary,28,1897117,1,1,56,11,10,534,0.19642857142857142,0.9090909090909091
whale_volume,expanding_top1_primary,29,1897118,0,0,12782,795,397,14534,0.06219683930527304,0.49937106918238994
whale_volume,expanding_top1_primary,29,1897118,0,1,2186,1136,773,5696,0.5196706312900274,0.6804577464788732
whale_volume,expanding_top1_primary,29,1897118,1,0,36,5,3,37,0.1388888888888889,0.6
whale_volume,expanding_top1_primary,29,1897118,1,1,119,9,8,10466,0.07563025210084033,0.8888888888888888
whale_volume,expanding_top1_primary,29,1897119,0,0,4251,186,50,4504,0.043754410726887794,0.26881720430107525
whale_volume,expanding_top1_primary,29,1897119,0,1,809,460,315,1399,0.5686032138442522,0.6847826086956522
whale_volume,expanding_top1_primary,29,1897119,1,0,4,1,1,6,0.25,1.0
whale_volume,expanding_top1_primary,29,1897119,1,1,35,3,3,52,0.08571428571428572,1.0
whale_volume,expanding_top1_primary,29,1897120,0,0,4023,232,137,4409,0.05766840666169525,0.5905172413793104
whale_volume,expanding_top1_primary,29,1897120,0,1,929,359,238,4391,0.38643702906350913,0.6629526462395543
whale_volume,expanding_top1_primary,29,1897120,1,0,13,2,1,14,0.15384615384615385,0.5
whale_volume,expanding_top1_primary,29,1897120,1,1,53,5,3,846,0.09433962264150944,0.6
whale_volume,expanding_top1_primary,30,1897121,0,0,3057,85,33,3175,0.027805037618580306,0.38823529411764707
whale_volume,expanding_top1_primary,30,1897121,0,1,544,216,149,739,0.39705882352941174,0.6898148148148148
whale_volume,expanding_top1_primary,30,1897121,1,0,7,0,0,14,0.0,
whale_volume,expanding_top1_primary,30,1897121,1,1,10,0,0,11,0.0,
whale_volume,expanding_top1_primary,30,1897122,0,0,2449,62,30,2661,0.02531645569620253,0.4838709677419355
whale_volume,expanding_top1_primary,30,1897122,0,1,416,200,161,546,0.4807692307692308,0.805
whale_volume,expanding_top1_primary,30,1897122,1,0,2,0,0,2,0.0,
whale_volume,expanding_top1_primary,30,1897122,1,1,17,3,3,21,0.17647058823529413,1.0
whale_volume,expanding_top1_primary,30,1897123,0,0,11742,438,257,12376,0.03730199284619315,0.58675799086758
whale_volume,expanding_top1_primary,30,1897123,0,1,1659,777,637,3994,0.46835443037974683,0.8198198198198198
whale_volume,expanding_top1_primary,30,1897123,1,0,21,1,1,29,0.047619047619047616,1.0
