market_id,market_subtype,trade_count,volume_usdc,first_trade_time,last_trade_time,yes_outcome_won,event_id,stage,market_role,median_baseline_price,mean_baseline_price,sample_minutes,sample_gross_volume_usdc,median_minutes_to_kickoff,expanding_included,rolling7_included
1897110,Match draw,9660,881058.3310079741,2026-06-01 08:24:53.000 UTC,2026-06-18 21:09:02.000 UTC,0.0,26,Group stage,draw,0.235,0.23408057179987005,1539,255692.82442626348,859.0,0,0
1897111,Match winner,8001,877560.3846019846,2026-06-01 10:05:06.000 UTC,2026-06-18 21:09:04.000 UTC,0.0,26,Group stage,away_win,0.145,0.1489078706528371,1639,376112.7584691163,948.0,0,0
1897112,Match winner,13379,10468045.734508071,2026-06-01 04:38:02.000 UTC,2026-06-19 00:24:07.000 UTC,1.0,27,Group stage,home_win,0.765,0.7575807206364062,2137,7391774.437627648,1129.0,1,1
1897113,Match draw,7239,951818.2232309828,2026-06-01 05:17:05.000 UTC,2026-06-19 00:03:37.000 UTC,0.0,27,Group stage,draw,0.165,0.16646464646464645,1782,286230.9798529277,974.5,0,0
1897114,Match winner,8284,1464438.4931759834,2026-06-01 07:32:58.000 UTC,2026-06-19 00:05:38.000 UTC,0.0,27,Group stage,away_win,0.085,0.08060219780219781,2275,467891.5998829902,1511.0,1,1
1897115,Match winner,33771,6633051.794028434,2026-06-01 01:37:41.000 UTC,2026-06-19 03:16:22.000 UTC,1.0,28,Group stage,home_win,0.485,0.4871777960978291,3639,3800652.4607303627,2441.0,1,1
1897116,Match draw,12273,1366784.248478968,2026-06-01 08:25:04.000 UTC,2026-06-19 03:10:16.000 UTC,0.0,28,Group stage,draw,0.295,0.289524886877828,2210,772771.41943393,1201.5,1,1
1897117,Match winner,21553,5919368.617488248,2026-06-01 00:02:21.000 UTC,2026-06-19 03:08:26.000 UTC,0.0,28,Group stage,away_win,0.235,0.2352113508720071,3383,3241997.6519834544,2223.0,1,1
1897118,Match winner,40709,8555053.908896819,2026-06-01 07:21:58.000 UTC,2026-06-19 21:25:34.000 UTC,1.0,29,Group stage,home_win,0.605,0.6058054445554446,4004,4300172.584090967,2610.5,1,1
1897119,Match draw,9780,941328.0037139752,2026-06-01 08:25:14.000 UTC,2026-06-19 21:22:14.000 UTC,0.0,29,Group stage,draw,0.215,0.2180716723549488,2051,516871.2561965482,1218.0,1,1
1897120,Match winner,13762,2154668.5034479992,2026-06-01 01:25:25.000 UTC,2026-06-19 21:15:43.000 UTC,0.0,29,Group stage,away_win,0.175,0.17971039182282794,2348,1393158.0568265384,1880.0,1,1
1897121,Match winner,6790,1638156.7148599802,2026-06-01 08:25:04.000 UTC,2026-06-20 00:10:40.000 UTC,0.0,30,Group stage,home_win,0.175,0.17333912037037036,1728,640835.5248596789,1131.5,0,0
1897122,Match draw,6939,661152.023450985,2026-06-01 08:51:48.000 UTC,2026-06-20 00:11:07.000 UTC,0.0,30,Group stage,draw,0.265,0.2658786346396966,1582,187192.6110036009,976.5,0,0
1897123,Match winner,29639,9837813.107452773,2026-06-01 11:43:17.000 UTC,2026-06-20 00:17:17.000 UTC,1.0,30,Group stage,away_win,0.565,0.5554052823315118,3294,4223542.01011689,2035.5,1,1
1897124,Match winner,13932,5915687.062134919,2026-06-01 00:26:28.000 UTC,2026-06-20 02:47:35.000 UTC,1.0,31,Group stage,home_win,0.885,0.8873229043683589,3388,2131749.684103315,2232.0,1,1
1897125,Match draw,6236,731262.2635739904,2026-06-01 15:11:46.000 UTC,2026-06-20 02:36:17.000 UTC,0.0,31,Group stage,draw,0.0795,0.0772561320754717,2120,422396.4023541675,1529.5,1,1
1897126,Match winner,6222,1965558.080745994,2026-06-01 01:42:04.000 UTC,2026-06-20 02:37:58.000 UTC,0.0,31,Group stage,away_win,0.0395,0.03880869971936389,2138,1208314.7404147715,2146.5,1,1
1897127,Match winner,28059,12470479.353230843,2026-06-01 08:24:57.000 UTC,2026-06-20 05:18:32.000 UTC,0.0,32,Group stage,home_win,0.465,0.4676004304160689,2788,8826566.531763963,1524.0,1,1
1897130,Match draw,9696,772981.1192039793,2026-06-01 06:14:10.000 UTC,2026-06-20 05:18:38.000 UTC,0.0,32,Group stage,draw,0.285,0.28588788075178223,1543,120337.10995793038,1070.0,1,1
1897133,Match winner,14632,3068140.679163205,2026-06-01 01:38:01.000 UTC,2026-06-20 05:22:47.000 UTC,1.0,32,Group stage,away_win,0.245,0.24608621860149357,1473,333541.2858602856,1125.0,1,1
1897144,Match winner,29327,8322374.341957944,2026-06-01 08:25:18.000 UTC,2026-06-20 19:17:02.000 UTC,1.0,33,Group stage,home_win,0.575,0.5717735117999295,2839,4033414.775908317,1748.0,1,1
1897145,Match draw,8736,1324936.785825987,2026-06-01 11:02:35.000 UTC,2026-06-20 19:04:23.000 UTC,0.0,33,Group stage,draw,0.235,0.23874235006119948,1634,368973.17267220706,953.0,1,1
